 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.397.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.398.t: "Freedom for Venezuela"
 spain.398.d: "The international community also has a responsibility to protect the people of Venezuela and respond urgently to their economic and humanitarian crisis. At present, Venezuela faces a terrible hyperinflation, which has caused a generalized shortage of basic supplies, including food. The number of deaths and massive arrests in response to peaceful protests are developing rapidly. The only solution to solve the crisis in Venezuela is a military intervention."
 spain.398.o1: "Why don't you shut up?"
 spain.399.t: "Spanish Imperialist Aggression"
 spain.399.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.399.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.400.t: "Spanish Interests in Venezuela"
 spain.400.d: "Once freedom and democracy have been restored by humanitarian intervention, the dictator and his followers have been detained for prosecution. The interests of our multinationals are safe and expanding with new acquisitions. It is time to proceed to the distribution of the loot."
 spain.400.o1: "Freedom in Venezuela"
 spain.401.t: "Evo Presidente"
 spain.401.d: "With a turnout of 84.5%, the election saw Morales gain 53.7% of the vote, while Quiroga came second with 28.6%; Morales' was the first victory with an absolute majority in Bolivia for 40 years. Given that he was the sixth self-described leftist president to be elected in Latin America since 1998, his victory was identified as part of the broader regional pink tide. Becoming president elect, Morales was widely described as Bolivia's first indigenous leader, at a time when around 62% of the population identified as indigenous. This resulted in widespread excitement among the approximately 40 million indigenous people in the Americas, particularly those of Bolivia. However, his election caused concern among the country's wealthy and landowning classes, who feared state expropriation and nationalisation of their property, as well as far-right groups, who claimed it would spark a race war. He traveled to Cuba to spend time with Castro, before going to Venezuela, and then on tour to Europe, China, and South Africa; significantly, he avoided the U.S. In January 2006, Morales attended an indigenous spiritual ceremony at Tiwanaku where he was crowned Apu Mallku (Supreme Leader) of the Aymara, receiving gifts from indigenous peoples across Latin America. He thanked the goddess Pachamama for his victory and proclaimed that "With the unity of the people, we're going to end the colonial state and the neo-liberal model.""
 spain.401.o1: "The Gas is not for sale, dammit!"
 spain.402.t: "Bolivian Strategic Plan"
 spain.402.d: "The current government of Bolivia is at present a clear brake, and may be in the future a threat, to the interests of Spanish multinational companies, we must initiate a project to suppress that interference. As a first step we will finance the usual media to discredit its government and its policies, followed by the formation of political cadres adhering to our line to lead a growing opposition to the current regime."
 spain.402.o1: "Why don't you shut up?"
 spain.403.t: "Spanish Imperialist Aggression"
 spain.403.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.403.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.404.t: "Freedom for Bolivia"
 spain.404.d: "Once the propaganda campaign and the opposition have been articulated, an economic war must begin, a shortage of basic products and, at the same time, the sabotage affecting services to the population, particularly the electricity system, must be maintained and increased. Blame the government for alleged inefficiencies and negligence."
 spain.404.o1: "Why don't you shut up?"
 spain.405.t: "Spanish Imperialist Aggression"
 spain.405.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.405.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.406.t: "Freedom for Bolivia"
 spain.406.d: "To the above measures we must create crisis situations in the streets that facilitate the humanitarian intervention of NATO forces, with the support of the Government of Colombia. When possible, violence should result in death or injury."
 spain.406.o1: "Why don't you shut up?"
 spain.407.t: "Spanish Imperialist Aggression"
 spain.407.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.407.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.408.t: "Freedom for Bolivia"
 spain.408.d: "Intensify the economic war with lockouts and stop economic activity, promote sanctions from the United Nations and the European Union to support the measures being developed."
 spain.408.o1: "Why don't you shut up?"
 spain.409.t: "Spanish Imperialist Aggression"
 spain.409.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.409.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.410.t: "Freedom for Bolivia"
 spain.410.d: "The international community also has a responsibility to protect the people of Bolivia and respond urgently to their economic and humanitarian crisis. At present, Bolivia faces a terrible hyperinflation, which has caused a generalized shortage of basic supplies, including food. The number of deaths and massive arrests in response to peaceful protests are developing rapidly. The only solution to solve the crisis in Bolivia is a military intervention."
 spain.410.o1: "Why don't you shut up?"
 spain.411.t: "Spanish Imperialist Aggression"
 spain.411.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.411.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.412.t: "Spanish Interests in Bolivia"
 spain.412.d: "Once freedom and democracy have been restored by humanitarian intervention, the dictator and his followers have been detained for prosecution. The interests of our multinationals are safe and expanding with new acquisitions. It is time to proceed to the distribution of the loot."
 spain.412.o1: "Freedom in Bolivia"
 spain.413.t: "Correa Presidente"
 spain.413.d: "Correa decided to campaign for the presidency in the 2006 presidential election, although at the time he was a largely unknown figure among the Ecuadorean public. Employing Vinicio Alvarado as his campaign manager, Correa's campaign emphasised his personality as a macho family man of modest origins who was angry with the country's political elites. During his campaign, he described himself as the head of "a citizen's revolution" against the established political parties and corrupt elites, and depicted himself as the leader of a second independence movement devoted to freeing Ecuador from American imperialism. Touring the country aboard a motorized caravan attending political rallies, he emphasized this opposition using campaign songs such as Twisted Sister's "We're Not Gonna Take It", as well as through the slogan "Se viene el correazo" ("Here comes a whipping"), a pun on the fact that "Correa" can be translated as whip. However, the Alianza PAIS movement signed a political alliance with the Ecuadorian Socialist Party, which did present candidates for Congress. On 31 July 2006, Alianza PAIS also signed a Programmatic Political Agreement with the Communist Party of Ecuador when Correa was postulated for candidate for president. Other parties that joined Alianza PAIS coalition in a runoff election included: Democratic People's Movement, Democratic Left, Pachakutik, and the Partido Roldista Ecuatoriano. In the October 2006 general election, Correa obtained second place (23%) behind banana tycoon Álvaro Noboa (27%). The situation led to a run-off election, in which Correa portrayed Noboa as an exploitative oligarch and Noboa portrayed Correa as a dangerous leftist with strong links to Venezuela. Correa won the subsequent November 2006 runoff election with 57% of the vote. Correa was the first leftist to assume the presidency since Ecuador's transition to representative democratic governance in 1979."
 spain.413.o1: "Here comes a whipping"
 spain.414.t: "Ecuatorian Strategic Plan"
 spain.414.d: "The current government of Ecuador is at present a clear brake, and may be in the future a threat, to the interests of Spanish multinational companies, we must initiate a project to suppress that interference. As a first step we will finance the usual media to discredit its government and its policies, followed by the formation of political cadres adhering to our line to lead a growing opposition to the current regime."
 spain.414.o1: "Why don't you shut up?"
 spain.415.t: "Spanish Imperialist Aggression"
 spain.415.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.415.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.416.t: "Freedom for Ecuador"
 spain.416.d: "Once the propaganda campaign and the opposition have been articulated, an economic war must begin, a shortage of basic products and, at the same time, the sabotage affecting services to the population, particularly the electricity system, must be maintained and increased. Blame the government for alleged inefficiencies and negligence."
 spain.416.o1: "Why don't you shut up?"
 spain.417.t: "Spanish Imperialist Aggression"
 spain.417.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.417.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.418.t: "Freedom for Ecuador"
 spain.418.d: "To the above measures we must create crisis situations in the streets that facilitate the humanitarian intervention of NATO forces, with the support of the Government of Colombia. When possible, violence should result in death or injury."
 spain.418.o1: "Why don't you shut up?"
 spain.419.t: "Spanish Imperialist Aggression"
 spain.419.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.419.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.420.t: "Freedom for Ecuador"
 spain.420.d: "Intensify the economic war with lockouts and stop economic activity, promote sanctions from the United Nations and the European Union to support the measures being developed."
 spain.420.o1: "Why don't you shut up?"
 spain.421.t: "Spanish Imperialist Aggression"
 spain.421.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.421.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.422.t: "Freedom for Ecuador"
 spain.422.d: "The international community also has a responsibility to protect the people of Ecuador and respond urgently to their economic and humanitarian crisis. At present, Ecuador faces a terrible hyperinflation, which has caused a generalized shortage of basic supplies, including food. The number of deaths and massive arrests in response to peaceful protests are developing rapidly. The only solution to solve the crisis in Ecuador is a military intervention."
 spain.422.o1: "Why don't you shut up?"
 spain.423.t: "Spanish Imperialist Aggression"
 spain.423.d: "The actions of Spain and its South American allies against our homeland have not ceased despite the government-sponsored peace and respect diplomacy. The recent events seem at first glance isolated incidents, the reality is that they are due to the international attacks against the government that seek to discredit the country and isolate it in the international arena. Latin America began an era in which the face of the continent changed and a whole wave of democracy and unity emerged; But a reaction was also launched against imperialism because imperialism could not stand idly by and started a continental counter-offensive to disrupt this unity. The President stressed that Latin America has raised its voice to repudiate interventionism in the framework of the celebration of Anti-imperialist Day. From early in the morning the citizens concentrated in the capital of that country in defense of the sovereignty and independence of the South American nation."
 spain.423.o1: "Against Imperialist Aggression ¡Venceremos!"
 spain.424.t: "Spanish Interests in Ecuador"
 spain.424.d: "Once freedom and democracy have been restored by humanitarian intervention, the dictator and his followers have been detained for prosecution. The interests of our multinationals are safe and expanding with new acquisitions. It is time to proceed to the distribution of the loot."
 spain.424.o1: "Freedom in Ecuador"
 spain.425.t: "Trio of the Azores"
 spain.425.d: "The Summit of the Azores was a meeting held in the Azores on March 16, 2003 by the presidents of the United States (Tony Blair), Spain (José María Aznar) and Portugal (José Manuel Aznar) Durão Barroso), who was also the host, prior to the invasion of Iraq on March 20, 2003. At the Summit of the Azores, the decision was taken to launch a 24-hour ultimatum to the Iraqi regime headed by Saddam Hussein for his disarmament , Under threat of declaration of war. In Spain the summit of the Azores was highly criticized and, according to some experts, meant a turning point that marked the beginning of the fall of the PP, which would accentuate even more with 11-M. The ultimatum eventually led to the invasion of Iraq by an international coalition of countries without the explicit support of the United Nations, although they were covered by United Nations Security Council Resolution 1441, 1483 And 1511."
 spain.425.o1: "Excellent"
 spain.426.t: "The Metamorphosis of Ibex"
 spain.426.d: "In its origins, the Ibex was a faithful reflection of an economy immersed in a deep process of adjustment and modernization to achieve convergence with the European countries. In this, two very regulated sectors, the banking and the electric ones, had a very significant weight - both represented more than 70% of the index - and the public sector was very present through companies like Telefónica, Endesa, Iberia, Repsol or Tabacalera. The 35 companies present in those first measures of the index had a joint value equivalent to 51,382 million euros. Twenty-five years later, the Ibex 35 has multiplied by more than ten its capitalization, figures that speak clearly of the growth experienced in this period by the Spanish economy and its companies and which has also been reflected in a revaluation of the rate of 255% - 790% if you take into account the dividends paid by your companies. One sector has managed to maintain almost unchanged its preponderance in the selective index of the Spanish stock market: the banking sector. At the outset, Banco Central Hispano, BBV, Santander, Banesto and Banco Exterior were among the top ten index values. Through mergers and internationalization processes, the financial sector has lighted some of the largest companies in the Spanish market. The witness of Telefónica as the most valuable company of the Ibex has been collected by Inditex. The textile company has been one of the most noteworthy success stories in the Spanish market in recent years and has reached a market value close to 100,000 million euros. Firms such as Iberdrola, Endesa and Repsol are today among the most important of the Ibex 35. And others, such as Gas Natural and Red Eléctrica, which were not present in the origins of the selective also currently has a considerable weight."
 spain.426.o1: "Excellent"
 spain.427.t: "The Tentacles of the «Real Politik»"
 spain.427.d: "PP and PSOE have gone from having different institutions to coordinating them around an important think tank. In this work, the innovation was marked by José María Aznar and his Foundation for Analysis and Social Studies (FAES), when, at the end of 2002, five foundations linked to the Popular Party were integrated, leaving only the NGO Humanism And Democracy. A similar process would now be underway for the Pablo Iglesias Foundation, Spanish in the World, Jaime Vera, System and Global Progress, institutions that are closer to the PSOE and could be integrated into Equality, Rights, Ecology, Action and Solidarity, which form the acronym IDEAS. Will soon become the socialist reflection of the popular think tank. They exist in all the countries that have had some imperialist objective in its history, like United States, France or Spain. But this legacy is not only in the hands of party organizations. These foundations are divided between public ones, created directly by the State, like the Instituto Cervantes or the Carolina Foundation; And the private ones, related to parties, companies and Church. In organizations linked to the parties themselves or to the state itself, the participation of large companies is crucial for their financing, either with managers on their boards or with the direct presence of multinationals, such as the Carolina Foundation, Which together with AECI's money has the contributions of Santander, BBVA, Endesa, PRISA and, thus, to a total of 25 Spanish multinationals. With different means but similar objectives are other institutions like the Cervantes Institute or related NGOs, such as Solidarity (PSOE) or Humanism and Democracy (PP). The Cervantes, along with the Spanish language, exports the venerable image of parliamentary monarchy, the Transition and all the transcendental questions of State. An example of this is the absence of Cervantes in the territories of the former Spanish province of Western Sahara, while there are five of its centers in Morocco, which occupied the former colony."
 spain.427.o1: "Excellent"
 spain.428.t: "NO WAR"
 spain.428.d: "Beginning in 2002, and continuing after the 2003 invasion of Iraq, large-scale protests against the Iraq War were held in many cities worldwide, often coordinated to occur simultaneously around the world. Spain is the country where these demonstrations achieved greater significance. It was the circumstance that Spain was part of the Security Council of the UN and that the US government gave it a special role. On the one hand, he referred to Spain as the starting point of the new Europe and, on the other hand, entrusted him to add the support of the countries of Latin America. The Spanish government of the Popular Party supported the invasion of Iraq in 2003 despite having all other political parties and up to 90% of the citizens against it.6 In fact, during that period, then-President José María Aznar The lowest popularity rating of the entire legislature, and polls gave him a four-point lead for the PSOE. It is estimated that in Spain there were between 11 million and 8 million people. Only between Madrid and Barcelona was between a million and three million demonstrators. The protests by artists and people of the show were also seen to the point that during the XVII edition of the Goya Awards, the actors and directors took plates saying "No to war" and turned the act into a plea against the Same. Subsequently, some of them participated in the well-known "There is reason!". These mobilizations, along with those motivated by the Prestige disaster, marked the discomfort of the citizenship before the general elections of Spain of 2004, where in the end the PP lost the elections with the attacks of 11 of March in Madrid like background frame."
 spain.428.o1: "Hippies..."
 spain.429.t: "Aznar's Successor"
 spain.429.d: "At the XIV Congress of the Popular Party held in Madrid from 25 to 27 January 2002, the President of the Government and of the party José María Aznar fulfilled his word of not being more than eight years at the head of the presidency of the country and became the first Spanish ruler in office who voluntarily renounced to remain in power despite the pressures within his party to continue. On August 31, 2003, Aznar proposed to him as his successor and expressed it with this phrase: "Mariano has touched you." In November 2012, Aznar revealed that he had offered his succession to Rodrigo Rato, but Rato rejected it On September 3, he was elected by the National Board of the Popular Party, new secretary of the formation and candidate for the presidency of the Government. Since leaving the government, since 2004 he has worked in several private companies. is, ten years after presiding over his last Council of Ministers, the former president of the Government with more assets. Their incomes have multiplied by 20 since the old time of the Moncloa. He advises half a dozen multinationals, of which he charges 200,000 euros per year; gives lectures around the world to 40,000 euros each (does not invoice those that are organized in Spain); gives classes in several universities and maintains the salary of former presidents, 75,000 euros. Moncloa takes over the official car and security. He is a member and president of FAES and was honorary president of the Popular Party (2004-2016), a position he resigned. He was a member of the Council of State. Periodically enters the political debate of the moment with interventions or press conferences. The figure of Aznar, who has come to present himself as an "heir to the Spanish liberal tradition", has been one of the references of the neoconservative sector of the Spanish right. It has given rise to a change in the direction of the Spanish foreign policy, orientating it towards Atlanticism, favoring a rapprochement with Tony Blair and George W. Bush at the cost of relations with the Franco-German axis."
 spain.429.o1: "Spain is doing well!"
 spain.430.t: "Attacks of March 11, 2004. Madrid"
 spain.430.d: "The attacks of March 11, 2004, known by the numeral 11M, were a series of terrorist attacks in four trains of the network of Cercanías of Madrid carried out by a terrorist cell of jihad type type, as revealed the later police investigation, Said the National Court and reiterated the Supreme Court. It is the biggest bombing in Europe behind the 1988 Lockerbie bombing, with 10 near-simultaneous blasts on four morning rush hour trains (between 07:36 and 07:40). Later, after an attempt to deactivate, the police would detonate in a controlled way two artifacts that had not exploded. After that they deactivated a third one, which would allow, thanks to its content, to initiate the first surveys that would lead to the identification of the authors. 192 people died, and 2057 were injured. 2004 was not the first jihadist attack in Spain. Previously there had been the bombing of the restaurant El Descanso of April 12, 1985, which caused 18 deaths. While in earlier democracies like the United States and the United Kingdom, similar attacks (11-S and 7-J, respectively) did not produce a social fracture, but united civil society around its institutions, in Spain took place the zenith Of the social and political tension that had been increasing during the second legislature of Aznar. There is a widely accepted theory that the electoral result was influenced by the attacks that took place three days earlier in Madrid."
 spain.430.o1: "«Who was it?»"
 spain.431.t: "Ceasefire 2006"
 spain.431.d: "ETA declares "a permanent ceasefire". The terrorist band, whose criminal activity in Spain has lasted 38 years with 817 murders, announced its decision through a video sent to Basque public television. In the recording, a hooded terrorist, escorted by two other members of ETA, read a statement in Euskera and in Spanish explaining the band's intentions: "The aim of this decision is to promote a democratic process in Euskal Herria to build a new framework in which the rights that we as a people correspond to us are recognized and ensuring the possibility of development of all political options for the future. " The President of the Government, José Luis Rodríguez Zapatero, announces in an institutional declaration in the lobby of the Congress of Deputies the start of the dialogue with ETA. The PP is unmarked from the beginning of the process and begins a stage of rough confrontation with the PSOE regarding the anti-terrorist policy. Various meetings are held between government representatives and ETA emissaries, to which the PNV would also be incorporated. After arriving at a conclusion of agreement (the denominated agreements of Loyola), the conversations shipwreck again."
 spain.431.o1: "Acuerdos de Loyola"
 spain.432.t: "Attack of the T4"
 spain.432.d: "The bombing of the T4 consisted of the explosion of a van bomb that members of the terrorist organization ETA had placed in one of the parking lots of the Terminal 4 of the Airport of Madrid-Barajas, Madrid, on December 30, 2006, Saturday, to 09:1 (Spanish time). The heavy explosion killed two people, wounded about 20 people and caused major damage to airport infrastructure, as well as suspensions and delays in flights. At the political level, the attack occurred in the context of a peace process by the Spanish Government and the terrorist group, which had declared a "permanent ceasefire". Finally the four involved in the attack were detained during the same legislature. Since then he has murdered several more people. At the end of 2008, the ETA summit fell twice in just three weeks: on 17 November the police arrested Mikel Garikoitz Aspiazu Txeroki and on December 8 they did the same with Aitzol Iriondo. two Etarras that were going to accompany him; Eneko Zarrabeitia and Aitor Artetxe In the Guipuzcoan town of Irún, three other ETA members were detained on the same day, resulting in the arrest of two suspected terrorists in Guecho and Berango, and the dawn of 15 to 16 December, four "legal" members of ETA in Guipúzcoa. The media agree that in the last fifty years of its creation, ETA has been structurally weakened and isolated before a society weary of violence and growing social rejection."
 spain.432.o1: "Suspend dialogue initiatives"
 spain.433.t: "ETA has decided the definitive cessation of its armed activity"
 spain.433.d: "The terrorist organization Euskadi Ta Askatasuna (ETA) announced the definitive cessation of its armed activity on 20 October 2011. The communiqué was issued three days after the San Sebastian International Peace Conference, in which was asked for a statement in those terms, in a statement published in the digital editions of the Gara and Berria newspapers, in which ETA affirmed a "clear, firm and definitive commitment" to "overcoming the armed confrontation" while calling on the Spanish and French governments for a "direct dialogue" with a view to reaching a solution to the "consequences of the conflict". From its passage to the armed activity in 1968, ETA has killed 829 people, of which 486 were military and police (58.62%) and 343 civilians (41.38%). 66.46% of all attacks were committed in the Basque Country."
 spain.433.o1: "2.472 terrorist actions"
 spain.434.t: "Independence of Catalonia"
 spain.434.d: "In a recent plebiscite on self-determination 55.5% of Catalan voters voted for independence, compared with 75% unfavorable citizens of the rest of Spain. The Estat Catalá has been unilaterally proclaimed by the Generalitat, being recognized as a sovereign nation by France and Germany, requesting their entry into NATO and the European Union, which have decided to grant it the status of "official candidate" To be a member of the Union and the Alliance."
 spain.434.o1: "¡Visca Catalunya Lluire!"
 spain.435.t: "Independence of Basque Country"
 spain.435.d: "In a recent plebiscite on self-determination 59.1% of Basque voters voted for independence, compared with 75% unfavorable citizens of the rest of Spain. Following the Lehendakaritza, independence has been proclaimed unilaterally, being recognized as a sovereign nation by France and Germany, requesting their entry into NATO and the European Union, which have decided to grant him the status of "official candidate" to become a member Of the Union and of the Alliance."
 spain.435.o1: "¡Gora Euskadi Askatuta!"
 spain.436.t: "Independence of Galicia"
 spain.436.d: "In a recent plebiscite on self-determination, 58.4% of Galician voters voted for independence, compared with 75% unfavorable citizens of the rest of Spain. Following the Xunta de Galicia, the Segunda República Galega was proclaimed unilaterally, being recognized as a sovereign nation by France and Germany, requesting their entry into NATO and the European Union, which have decided to grant it the status of "official candidate "To be a member of the Union and the Alliance."
 spain.436.o1: "¡Viva Galicia Ceibe!"
 spanish_civil_war: "Spanish Civil War"
 spain.437.t: "Civil War"
 spain.437.d: "A group of generals of great power in the Armed Forces have made a pronouncement, denouncing the current government of Spain! They have launched a right-wing coup with the support of the monarchists, conservatives, clergy and other counterrevolutionaries of the so-called Democratic Alliance. A significant part of the army has been allied with these counterrevolutionaries. Meanwhile, leftist volunteers flock to the Republican government, ready to support it against the rebels. These Republicans may be poorly trained, but no one can doubt their enthusiasm."
 spain.437.o1: "Long live the Proletarian Revolution!"
 spain.438.t: "Spain's 2004 General Elections"
 spain.438.d: "Spain's 2004 general elections took place on Sunday, March 14. The Spaniards were called to the polls for the ninth time since the transition to renew the Cortes Generales. They took place three days after the attacks on the network of close to Madrid, the largest terrorist act in the history of the country, where 193 people were killed, made that marked the election results. PSOE led by José Luis Rodríguez Zapatero won with an advantage of 4.9% the PP led by Mariano Rajoy, relieving them so the Government chaired by José María Aznar in his previous term in Spain."
 spain.438.o1: "PSOE"
 spain.438.o2: "PP"
 spain.439.t: "Spain's 2015 General Elections"
 spain.439.d: "Mariano Rajoy won the 2011 general election in a landslide running on a platform that promised to bring a solution to the country's worsening economic situation, marked by soaring unemployment and an out-of-control public deficit. However, shortly after taking office, Rajoy's People's Party (PP) popularity in opinion polls began to erode after its U-turn on economic policy, which included the breaching of many election pledges. In its first months in power, Rajoy's government approved a series of tax rises, a harsh labour reform that allegedly cheapened dismissals—and which was met with widespread protests and two general strikes in March and November 2012—and an austere state budget for 2012. The crash of Bankia, one of the largest banks of Spain, in May 2012 resulted in a dramatic rise of the Spanish risk premium, and in June the country's banking system needed a bailout from the IMF. The social response to the ongoing political and economic crisis was mixed. The 15-M Movement had resulted in an increase of street protests and demonstrations calling for a more democratic governmental system, a halt to spending cuts and tax increases and an overall rejection of Spain's two-party system formed by both PP and PSOE. Social mobilization channeled through various protest actions, such as "Surround the Congress", the so-called "Citizen Tides" or the "Marches for Dignity". In Catalonia, the PP's rise to power and its perceived rightist stance were said to have been the final trigger for the independence movement to fire up. A 1.5-million strong demonstration in Barcelona on 11 September 2012 finally convinced the regional ruling Convergence and Union (CiU) of Artur Mas to switch to independence support. Finally, the PP decline and the PSOE inability to recover lost support paved the way for the rise of new parties in the national landscape, such as Podemos and Citizens (C's), which began to rise dramatically in opinion polls after 2014 European Parliament election."
 spain.439.o1: "PSOE"
 spain.439.o2: "PP"
 spain.439.o3: "Ciudadanos"
 spain.440.t: "Bipartisan Wear"
 spain.440.d: "The two major Spanish parties, PP and PSOE, the only ones that have alternated with the executive - and the governments of most of the autonomous communities and municipalities - in the last three decades, added to the general elections of 2008 83.8% of the valid votes. It was the peak of what is probably one of the most bipartisan systems in Europe, if not the largest. But a similar percentage had been maintained since 1982: the PP-PSOE sum never dropped from 65% and was almost always around 75%. In 2011 it still exceeded 73%. This has taken the crisis ahead, according to surveys published by the CIS and by various means in recent months. The two major parties - especially the PP - fall without pause in the estimations of vote: they only add between 45% and 60%; their directions know this and assume it as the "logical" cost of government measures, those of the previous and current. Sources from both parties interpret that the problem is circumstantial, that lasts for the duration of the crisis and that, although they will surely never regain 80% of the votes, the system will remain what it is: only two parties with government options. Faced with this crossroads, the party in the Government asks "time" to implement its policies; and on the other side, State pacts."
 spain.440.o1: "Let's see what happens."

 spain.XXX.t: "The Gürtel Case"
